County,Energy Burden % of Income,Park within 1/2 Mile,Imperviousness,% w/o Internet,Emergency Visits / 100000 temp residual
Kings,3.0,43.1,2.5,11.1,-10.881287068175041
Fresno,3.0,69.6,2.5,11.4,5.097947163684946
Tuolumne,4.1,62.0,0.4,11.1,20.329799070198902
Kern,2.8,59.5,1.9,9.8,-2.171381207898186
Santa Cruz,1.6,85.8,4.8,4.9,0.9446578606141687
Shasta,3.6,58.5,0.9,8.7,17.092215815051702
Solano,2.0,75.1,6.5,4.9,-10.78952930138426
Mendocino,3.7,45.4,0.5,11.4,1.5781480934860586
Tehama,4.0,30.9,0.6,13.1,-5.202347905839311
Santa Clara,1.0,93.0,12.5,3.7,-8.39097934829596
Merced,2.7,55.5,1.9,8.3,-5.576428277759774
Los Angeles,1.6,82.8,17.7,7.5,-16.123703813027838
Humboldt,3.0,59.1,0.9,9.5,0.07640297705012777
Yolo,1.9,78.3,3.0,5.8,1.684833489705639
Butte,3.2,62.6,2.0,7.9,11.556873675665855
Monterey,1.8,75.0,1.5,6.2,-12.203408743503582
Yuba,3.2,56.0,1.5,8.8,18.26357172224023
Orange,1.3,91.3,34.7,4.6,-7.050200929801099
Contra Costa,1.5,80.6,15.1,3.8,-6.840885208572788
Nevada,2.5,53.2,1.4,7.6,4.401154977387428
San Bernardino,2.4,63.1,1.5,6.4,-26.668186044550556
Sonoma,1.9,67.2,4.0,4.6,6.645919628079552
Alameda,1.2,94.2,18.7,5.4,-7.216415627404952
Ventura,1.3,82.1,4.8,6.0,-5.203892092474129
San Diego,1.6,84.3,7.8,4.6,-20.323220464057293
Tulare,3.2,51.3,1.4,11.8,9.90911479142721
Napa,1.9,75.5,2.6,5.4,-5.973314603780437
Madera,3.7,39.4,1.0,8.7,-3.807005766453468
Glenn,3.6,37.8,1.0,12.8,16.24852465237867
San Joaquin,2.6,77.9,7.4,7.8,-8.849341021937942
Placer,2.2,74.1,3.5,5.0,-0.2921469760382003
