"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"06","California","06001","Alameda","2022","5.7%","","(4.9% - 6.5%)","4.9%","6.5%",
"06","California","06003","Alpine","2022","6.5%","","(5.7% - 7.4%)","5.7%","7.4%",
"06","California","06005","Amador","2022","6.7%","","(5.9% - 7.7%)","5.9%","7.7%",
"06","California","06007","Butte","2022","6.9%","","(6.1% - 7.9%)","6.1%","7.9%",
"06","California","06009","Calaveras","2022","7.4%","","(6.5% - 8.5%)","6.5%","8.5%",
"06","California","06011","Colusa","2022","10.4%","","(9.1% - 11.7%)","9.1%","11.7%",
"06","California","06013","Contra Costa","2022","6.3%","","(5.5% - 7.1%)","5.5%","7.1%",
"06","California","06015","Del Norte","2022","8.4%","","(7.3% - 9.5%)","7.3%","9.5%",
"06","California","06017","El Dorado","2022","5.6%","","(4.9% - 6.5%)","4.9%","6.5%",
"06","California","06019","Fresno","2022","10.3%","","(9.0% - 11.6%)","9.0%","11.6%",
"06","California","06021","Glenn","2022","9.5%","","(8.3% - 10.8%)","8.3%","10.8%",
"06","California","06023","Humboldt","2022","7.8%","","(6.8% - 8.9%)","6.8%","8.9%",
"06","California","06025","Imperial","2022","12.6%","","(11.2% - 14.3%)","11.2%","14.3%",
"06","California","06027","Inyo","2022","7.2%","","(6.3% - 8.1%)","6.3%","8.1%",
"06","California","06029","Kern","2022","10.3%","","(9.0% - 11.7%)","9.0%","11.7%",
"06","California","06031","Kings","2022","9.9%","","(8.6% - 11.2%)","8.6%","11.2%",
"06","California","06033","Lake","2022","8.3%","","(7.2% - 9.4%)","7.2%","9.4%",
"06","California","06035","Lassen","2022","9.6%","","(8.5% - 10.9%)","8.5%","10.9%",
"06","California","06037","Los Angeles","2022","7.4%","","(6.5% - 8.3%)","6.5%","8.3%",
"06","California","06039","Madera","2022","10.6%","","(9.3% - 11.9%)","9.3%","11.9%",
"06","California","06041","Marin","2022","4.9%","","(4.3% - 5.6%)","4.3%","5.6%",
"06","California","06043","Mariposa","2022","6.9%","","(6.0% - 7.8%)","6.0%","7.8%",
"06","California","06045","Mendocino","2022","8.2%","","(7.2% - 9.3%)","7.2%","9.3%",
"06","California","06047","Merced","2022","10.3%","","(9.0% - 11.7%)","9.0%","11.7%",
"06","California","06049","Modoc","2022","8.2%","","(7.2% - 9.4%)","7.2%","9.4%",
"06","California","06051","Mono","2022","5.8%","","(5.0% - 6.6%)","5.0%","6.6%",
"06","California","06053","Monterey","2022","8.8%","","(7.7% - 10.0%)","7.7%","10.0%",
"06","California","06055","Napa","2022","6.8%","","(6.0% - 7.8%)","6.0%","7.8%",
"06","California","06057","Nevada","2022","5.0%","","(4.4% - 5.7%)","4.4%","5.7%",
"06","California","06059","Orange","2022","5.3%","","(4.7% - 6.1%)","4.7%","6.1%",
"06","California","06061","Placer","2022","4.8%","","(4.2% - 5.4%)","4.2%","5.4%",
"06","California","06063","Plumas","2022","7.1%","","(6.2% - 8.1%)","6.2%","8.1%",
"06","California","06065","Riverside","2022","8.4%","","(7.5% - 9.6%)","7.5%","9.6%",
"06","California","06067","Sacramento","2022","7.8%","","(6.9% - 8.8%)","6.9%","8.8%",
"06","California","06069","San Benito","2022","8.3%","","(7.2% - 9.5%)","7.2%","9.5%",
"06","California","06071","San Bernardino","2022","9.5%","","(8.3% - 10.6%)","8.3%","10.6%",
"06","California","06073","San Diego","2022","7.0%","","(6.1% - 7.9%)","6.1%","7.9%",
"06","California","06075","San Francisco","2022","4.6%","","(4.0% - 5.2%)","4.0%","5.2%",
"06","California","06077","San Joaquin","2022","9.1%","","(8.0% - 10.3%)","8.0%","10.3%",
"06","California","06079","San Luis Obispo","2022","6.5%","","(5.7% - 7.5%)","5.7%","7.5%",
"06","California","06081","San Mateo","2022","4.5%","","(3.9% - 5.0%)","3.9%","5.0%",
"06","California","06083","Santa Barbara","2022","7.8%","","(6.8% - 8.9%)","6.8%","8.9%",
"06","California","06085","Santa Clara","2022","3.8%","","(3.3% - 4.4%)","3.3%","4.4%",
"06","California","06087","Santa Cruz","2022","6.5%","","(5.6% - 7.4%)","5.6%","7.4%",
"06","California","06089","Shasta","2022","6.8%","","(5.9% - 7.7%)","5.9%","7.7%",
"06","California","06091","Sierra","2022","7.2%","","(6.2% - 8.2%)","6.2%","8.2%",
"06","California","06093","Siskiyou","2022","8.3%","","(7.2% - 9.5%)","7.2%","9.5%",
"06","California","06095","Solano","2022","7.4%","","(6.5% - 8.4%)","6.5%","8.4%",
"06","California","06097","Sonoma","2022","5.8%","","(5.1% - 6.6%)","5.1%","6.6%",
"06","California","06099","Stanislaus","2022","9.4%","","(8.2% - 10.6%)","8.2%","10.6%",
"06","California","06101","Sutter","2022","8.5%","","(7.5% - 9.7%)","7.5%","9.7%",
"06","California","06103","Tehama","2022","8.5%","","(7.4% - 9.8%)","7.4%","9.8%",
"06","California","06105","Trinity","2022","8.5%","","(7.5% - 9.7%)","7.5%","9.7%",
"06","California","06107","Tulare","2022","11.3%","","(10.0% - 12.8%)","10.0%","12.8%",
"06","California","06109","Tuolumne","2022","7.3%","","(6.4% - 8.3%)","6.4%","8.3%",
"06","California","06111","Ventura","2022","7.6%","","(6.7% - 8.6%)","6.7%","8.6%",
"06","California","06113","Yolo","2022","6.8%","","(5.9% - 7.7%)","5.9%","7.7%",
"06","California","06115","Yuba","2022","8.9%","","(7.8% - 10.2%)","7.8%","10.2%",
