May,Jun,Jul,Aug,Sep,FIPS,County
15.0,47.0,234.0,257.0,78.0,001,Alameda
0.0,0.0,72.0,25.0,0.0,003,Alpine
43.0,100.0,417.0,328.0,95.0,005,Amador
90.0,177.0,456.0,403.0,149.0,007,Butte
47.0,103.0,431.0,339.0,103.0,009,Calaveras
116.0,235.0,495.0,452.0,170.0,011,Colusa
23.0,66.0,303.0,297.0,88.0,013,Contra Costa
0.0,8.0,104.0,121.0,9.0,015,Del Norte
16.0,43.0,301.0,212.0,52.0,017,El Dorado
27.0,60.0,361.0,234.0,71.0,019,Fresno
94.0,210.0,467.0,443.0,168.0,021,Glenn
0.0,15.0,126.0,172.0,26.0,023,Humboldt
425.0,571.0,1010.0,903.0,640.0,025,Imperial
125.0,205.0,638.0,423.0,206.0,027,Inyo
102.0,161.0,580.0,424.0,194.0,029,Kern
164.0,256.0,620.0,521.0,273.0,031,Kings
24.0,91.0,354.0,298.0,75.0,033,Lake
5.0,15.0,172.0,103.0,7.0,035,Lassen
37.0,78.0,431.0,340.0,153.0,037,Los Angeles
35.0,80.0,361.0,261.0,86.0,039,Madera
0.0,0.0,20.0,63.0,14.0,041,Marin
27.0,64.0,354.0,235.0,68.0,043,Mariposa
7.0,35.0,174.0,180.0,34.0,045,Mendocino
82.0,177.0,484.0,424.0,197.0,047,Merced
7.0,18.0,177.0,107.0,8.0,049,Modoc
0.0,0.0,90.0,20.0,0.0,051,Mono
11.0,26.0,219.0,201.0,63.0,053,Monterey
28.0,79.0,278.0,302.0,106.0,055,Napa
13.0,34.0,240.0,169.0,33.0,057,Nevada
26.0,55.0,300.0,305.0,172.0,059,Orange
16.0,44.0,273.0,198.0,46.0,061,Placer
0.0,13.0,139.0,91.0,8.0,063,Plumas
229.0,339.0,799.0,687.0,414.0,065,Riverside
90.0,176.0,448.0,433.0,197.0,067,Sacramento
19.0,59.0,350.0,286.0,90.0,069,San Benito
228.0,350.0,814.0,643.0,377.0,071,San Bernardino
45.0,87.0,432.0,370.0,180.0,073,San Diego
0.0,0.0,10.0,57.0,25.0,075,San Francisco
82.0,168.0,437.0,423.0,188.0,077,San Joaquin
16.0,35.0,313.0,231.0,77.0,079,San Luis Obispo
0.0,0.0,25.0,74.0,31.0,081,San Mateo
5.0,11.0,192.0,172.0,67.0,083,Santa Barbara
15.0,42.0,237.0,221.0,67.0,085,Santa Clara
0.0,9.0,67.0,126.0,44.0,087,Santa Cruz
44.0,118.0,382.0,303.0,81.0,089,Shasta
0.0,8.0,111.0,70.0,7.0,091,Sierra
9.0,28.0,205.0,149.0,16.0,093,Siskiyou
46.0,103.0,317.0,336.0,130.0,095,Solano
0.0,12.0,100.0,140.0,37.0,097,Sonoma
75.0,158.0,451.0,410.0,174.0,099,Stanislaus
140.0,255.0,509.0,477.0,226.0,101,Sutter
75.0,166.0,452.0,388.0,128.0,103,Tehama
12.0,65.0,261.0,234.0,46.0,105,Trinity
20.0,44.0,329.0,194.0,56.0,107,Tulare
7.0,14.0,192.0,106.0,18.0,109,Tuolumne
6.0,16.0,264.0,219.0,65.0,111,Ventura
88.0,177.0,420.0,419.0,180.0,113,Yolo
97.0,187.0,472.0,410.0,160.0,115,Yuba
