"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number",,"Year Built"
"06","California","06001","Alameda","2010","74.35%","","429,425",,"Before 1980"
"06","California","06001","Alameda","2015","70.74%","","417,266",,"Before 1980"
"06","California","06001","Alameda","2020","67.76%","","410,452",,"Before 1980"
"06","California","06003","Alpine","2010","47.10%","","845",,"Before 1980"
"06","California","06003","Alpine","2015","44.48%","","801",,"Before 1980"
"06","California","06003","Alpine","2020","48.66%","","873",,"Before 1980"
"06","California","06005","Amador","2010","49.32%","","8,790",,"Before 1980"
"06","California","06005","Amador","2015","47.90%","","8,711",,"Before 1980"
"06","California","06005","Amador","2020","45.79%","","8,354",,"Before 1980"
"06","California","06007","Butte","2010","58.39%","","55,553",,"Before 1980"
"06","California","06007","Butte","2015","56.82%","","55,190",,"Before 1980"
"06","California","06007","Butte","2020","52.83%","","49,640",,"Before 1980"
"06","California","06009","Calaveras","2010","40.79%","","11,263",,"Before 1980"
"06","California","06009","Calaveras","2015","38.03%","","10,660",,"Before 1980"
"06","California","06009","Calaveras","2020","34.66%","","9,737",,"Before 1980"
"06","California","06011","Colusa","2010","60.33%","","4,691",,"Before 1980"
"06","California","06011","Colusa","2015","56.65%","","4,493",,"Before 1980"
"06","California","06011","Colusa","2020","55.82%","","4,551",,"Before 1980"
"06","California","06013","Contra Costa","2010","60.08%","","238,382",,"Before 1980"
"06","California","06013","Contra Costa","2015","57.81%","","234,120",,"Before 1980"
"06","California","06013","Contra Costa","2020","55.52%","","230,427",,"Before 1980"
"06","California","06015","Del Norte","2010","54.34%","","6,042",,"Before 1980"
"06","California","06015","Del Norte","2015","50.86%","","5,750",,"Before 1980"
"06","California","06015","Del Norte","2020","50.15%","","5,692",,"Before 1980"
"06","California","06017","El Dorado","2010","47.75%","","41,415",,"Before 1980"
"06","California","06017","El Dorado","2015","48.63%","","43,108",,"Before 1980"
"06","California","06017","El Dorado","2020","45.23%","","41,420",,"Before 1980"
"06","California","06019","Fresno","2010","56.07%","","173,926",,"Before 1980"
"06","California","06019","Fresno","2015","52.62%","","169,421",,"Before 1980"
"06","California","06019","Fresno","2020","50.92%","","169,748",,"Before 1980"
"06","California","06021","Glenn","2010","67.04%","","7,161",,"Before 1980"
"06","California","06021","Glenn","2015","62.63%","","6,822",,"Before 1980"
"06","California","06021","Glenn","2020","58.14%","","6,517",,"Before 1980"
"06","California","06023","Humboldt","2010","65.50%","","39,894",,"Before 1980"
"06","California","06023","Humboldt","2015","64.34%","","39,992",,"Before 1980"
"06","California","06023","Humboldt","2020","62.95%","","39,659",,"Before 1980"
"06","California","06025","Imperial","2010","48.64%","","26,691",,"Before 1980"
"06","California","06025","Imperial","2015","43.68%","","24,772",,"Before 1980"
"06","California","06025","Imperial","2020","38.25%","","22,129",,"Before 1980"
"06","California","06027","Inyo","2010","69.71%","","6,576",,"Before 1980"
"06","California","06027","Inyo","2015","64.20%","","6,100",,"Before 1980"
"06","California","06027","Inyo","2020","66.49%","","6,326",,"Before 1980"
"06","California","06029","Kern","2010","49.93%","","138,928",,"Before 1980"
"06","California","06029","Kern","2015","48.34%","","139,945",,"Before 1980"
"06","California","06029","Kern","2020","45.78%","","136,963",,"Before 1980"
"06","California","06031","Kings","2010","47.28%","","20,375",,"Before 1980"
"06","California","06031","Kings","2015","48.79%","","21,774",,"Before 1980"
