"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",,"Distance to Parks"
"06","California","06017","El Dorado","2010","22.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06017","El Dorado","2015","68.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06017","El Dorado","2020","71.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06019","Fresno","2010","30.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06019","Fresno","2015","47.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06019","Fresno","2020","69.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06021","Glenn","2010","9.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06021","Glenn","2015","21.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06021","Glenn","2020","37.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06023","Humboldt","2010","32.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06023","Humboldt","2015","45.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06023","Humboldt","2020","59.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06025","Imperial","2010","35.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06025","Imperial","2015","55.9%","",,"Distance to Parks: 1/2 Mile"
"06","California","06025","Imperial","2020","64.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06027","Inyo","2010","18.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06027","Inyo","2015","98.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06027","Inyo","2020","98.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06029","Kern","2010","36.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06029","Kern","2015","52.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06029","Kern","2020","59.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06031","Kings","2010","25.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06031","Kings","2015","34.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06031","Kings","2020","43.1%","",,"Distance to Parks: 1/2 Mile"
"06","California","06033","Lake","2010","13.3%","",,"Distance to Parks: 1/2 Mile"
"06","California","06033","Lake","2015","45.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06033","Lake","2020","45.6%","",,"Distance to Parks: 1/2 Mile"
"06","California","06035","Lassen","2010","4.2%","",,"Distance to Parks: 1/2 Mile"
"06","California","06035","Lassen","2015","58.0%","",,"Distance to Parks: 1/2 Mile"
"06","California","06035","Lassen","2020","66.5%","",,"Distance to Parks: 1/2 Mile"
"06","California","06037","Los Angeles","2010","55.7%","",,"Distance to Parks: 1/2 Mile"
"06","California","06037","Los Angeles","2015","77.4%","",,"Distance to Parks: 1/2 Mile"
"06","California","06037","Los Angeles","2020","82.8%","",,"Distance to Parks: 1/2 Mile"
"06","California","06039","Madera","2010","26.8%","",,"Distance to Parks: 1/2 Mile"
