"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"06","California","06001","Alameda","2021","18.7%","",
"06","California","06003","Alpine","2021","0.2%","",
"06","California","06005","Amador","2021","1.1%","",
"06","California","06007","Butte","2021","2.0%","",
"06","California","06009","Calaveras","2021","0.8%","",
"06","California","06011","Colusa","2021","0.8%","",
"06","California","06013","Contra Costa","2021","15.1%","",
"06","California","06015","Del Norte","2021","0.8%","",
"06","California","06017","El Dorado","2021","1.3%","",
"06","California","06019","Fresno","2021","2.5%","",
"06","California","06021","Glenn","2021","1.0%","",
"06","California","06023","Humboldt","2021","0.9%","",
"06","California","06025","Imperial","2021","1.2%","",
"06","California","06027","Inyo","2021","0.3%","",
"06","California","06029","Kern","2021","1.9%","",
"06","California","06031","Kings","2021","2.5%","",
"06","California","06033","Lake","2021","0.9%","",
"06","California","06035","Lassen","2021","0.4%","",
"06","California","06037","Los Angeles","2021","17.7%","",
"06","California","06039","Madera","2021","1.0%","",
"06","California","06041","Marin","2021","4.8%","",
"06","California","06043","Mariposa","2021","0.3%","",
"06","California","06045","Mendocino","2021","0.5%","",
"06","California","06047","Merced","2021","1.9%","",
"06","California","06049","Modoc","2021","0.3%","",
"06","California","06051","Mono","2021","0.7%","",
"06","California","06053","Monterey","2021","1.5%","",
"06","California","06055","Napa","2021","2.6%","",
"06","California","06057","Nevada","2021","1.4%","",
"06","California","06059","Orange","2021","34.7%","",
"06","California","06061","Placer","2021","3.5%","",
"06","California","06063","Plumas","2021","0.5%","",
"06","California","06065","Riverside","2021","4.0%","",
"06","California","06067","Sacramento","2021","15.6%","",
"06","California","06069","San Benito","2021","0.8%","",
"06","California","06071","San Bernardino","2021","1.5%","",
"06","California","06073","San Diego","2021","7.8%","",
"06","California","06075","San Francisco","2021","62.3%","",
"06","California","06077","San Joaquin","2021","7.4%","",
"06","California","06079","San Luis Obispo","2021","1.2%","",
"06","California","06081","San Mateo","2021","13.2%","",
"06","California","06083","Santa Barbara","2021","1.7%","",
"06","California","06085","Santa Clara","2021","12.5%","",
"06","California","06087","Santa Cruz","2021","4.8%","",
"06","California","06089","Shasta","2021","0.9%","",
"06","California","06091","Sierra","2021","0.4%","",
"06","California","06093","Siskiyou","2021","0.7%","",
"06","California","06095","Solano","2021","6.5%","",
"06","California","06097","Sonoma","2021","4.0%","",
"06","California","06099","Stanislaus","2021","4.4%","",
"06","California","06101","Sutter","2021","3.1%","",
"06","California","06103","Tehama","2021","0.6%","",
"06","California","06105","Trinity","2021","0.3%","",
"06","California","06107","Tulare","2021","1.4%","",
"06","California","06109","Tuolumne","2021","0.4%","",
"06","California","06111","Ventura","2021","4.8%","",
"06","California","06113","Yolo","2021","3.0%","",
"06","California","06115","Yuba","2021","1.5%","",
