"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"06","California","06001","Alameda","2020","20.62","",
"06","California","06003","Alpine","2020","No Counts","",
"06","California","06005","Amador","2020","12.83","",
"06","California","06007","Butte","2020","22.42","",
"06","California","06009","Calaveras","2020","5.52","",
"06","California","06011","Colusa","2020","19.22","",
"06","California","06013","Contra Costa","2020","14.55","",
"06","California","06015","Del Norte","2020","17.68","",
"06","California","06017","El Dorado","2020","9.94","",
"06","California","06019","Fresno","2020","18.85","",
"06","California","06021","Glenn","2020","16.27","",
"06","California","06023","Humboldt","2020","20.24","",
"06","California","06025","Imperial","2020","14.93","",
"06","California","06027","Inyo","2020","15.24","",
"06","California","06029","Kern","2020","17.14","",
"06","California","06031","Kings","2020","11.33","",
"06","California","06033","Lake","2020","9.09","",
"06","California","06035","Lassen","2020","7.64","",
"06","California","06037","Los Angeles","2020","24.78","",
"06","California","06039","Madera","2020","29.63","",
"06","California","06041","Marin","2020","16.85","",
"06","California","06043","Mariposa","2020","10.51","",
"06","California","06045","Mendocino","2020","15.54","",
"06","California","06047","Merced","2020","8.59","",
"06","California","06049","Modoc","2020","23.10","",
"06","California","06051","Mono","2020","12.87","",
"06","California","06053","Monterey","2020","17.04","",
"06","California","06055","Napa","2020","37.06","",
"06","California","06057","Nevada","2020","13.41","",
"06","California","06059","Orange","2020","18.79","",
"06","California","06061","Placer","2020","18.44","",
"06","California","06063","Plumas","2020","17.70","",
"06","California","06065","Riverside","2020","14.60","",
"06","California","06067","Sacramento","2020","21.09","",
"06","California","06069","San Benito","2020","3.88","",
"06","California","06071","San Bernardino","2020","22.16","",
"06","California","06073","San Diego","2020","20.07","",
"06","California","06075","San Francisco","2020","32.87","",
"06","California","06077","San Joaquin","2020","27.69","",
"06","California","06079","San Luis Obispo","2020","27.64","",
"06","California","06081","San Mateo","2020","27.25","",
"06","California","06083","Santa Barbara","2020","18.43","",
"06","California","06085","Santa Clara","2020","22.70","",
"06","California","06087","Santa Cruz","2020","13.76","",
"06","California","06089","Shasta","2020","32.44","",
"06","California","06091","Sierra","2020","No Counts","",
"06","California","06093","Siskiyou","2020","13.88","",
"06","California","06095","Solano","2020","33.51","",
"06","California","06097","Sonoma","2020","16.73","",
"06","California","06099","Stanislaus","2020","25.22","",
"06","California","06101","Sutter","2020","3.02","",
"06","California","06103","Tehama","2020","14.02","",
"06","California","06105","Trinity","2020","15.54","",
"06","California","06107","Tulare","2020","17.52","",
"06","California","06109","Tuolumne","2020","12.97","",
"06","California","06111","Ventura","2020","16.36","",
"06","California","06113","Yolo","2020","5.64","",
"06","California","06115","Yuba","2020","26.97","",
