"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"06","California","06001","Alameda","2022","11.7%","","(10.4% - 13.2%)","10.4%","13.2%",
"06","California","06003","Alpine","2022","11.5%","","(10.1% - 12.9%)","10.1%","12.9%",
"06","California","06005","Amador","2022","12.4%","","(10.9% - 14.0%)","10.9%","14.0%",
"06","California","06007","Butte","2022","12.2%","","(10.8% - 13.7%)","10.8%","13.7%",
"06","California","06009","Calaveras","2022","13.5%","","(11.9% - 15.2%)","11.9%","15.2%",
"06","California","06011","Colusa","2022","20.7%","","(18.5% - 23.0%)","18.5%","23.0%",
"06","California","06013","Contra Costa","2022","12.5%","","(11.1% - 13.9%)","11.1%","13.9%",
"06","California","06015","Del Norte","2022","15.1%","","(13.4% - 17.0%)","13.4%","17.0%",
"06","California","06017","El Dorado","2022","10.3%","","(9.0% - 11.8%)","9.0%","11.8%",
"06","California","06019","Fresno","2022","20.0%","","(17.9% - 22.2%)","17.9%","22.2%",
"06","California","06021","Glenn","2022","18.3%","","(16.3% - 20.5%)","16.3%","20.5%",
"06","California","06023","Humboldt","2022","13.5%","","(12.0% - 15.2%)","12.0%","15.2%",
"06","California","06025","Imperial","2022","24.3%","","(22.0% - 26.9%)","22.0%","26.9%",
"06","California","06027","Inyo","2022","13.3%","","(11.7% - 14.9%)","11.7%","14.9%",
"06","California","06029","Kern","2022","19.7%","","(17.6% - 21.8%)","17.6%","21.8%",
"06","California","06031","Kings","2022","18.8%","","(16.7% - 20.9%)","16.7%","20.9%",
"06","California","06033","Lake","2022","15.0%","","(13.3% - 16.8%)","13.3%","16.8%",
"06","California","06035","Lassen","2022","17.3%","","(15.4% - 19.2%)","15.4%","19.2%",
"06","California","06037","Los Angeles","2022","16.0%","","(14.6% - 17.6%)","14.6%","17.6%",
"06","California","06039","Madera","2022","20.1%","","(18.0% - 22.2%)","18.0%","22.2%",
"06","California","06041","Marin","2022","9.4%","","(8.3% - 10.6%)","8.3%","10.6%",
"06","California","06043","Mariposa","2022","12.3%","","(10.9% - 13.9%)","10.9%","13.9%",
"06","California","06045","Mendocino","2022","15.0%","","(13.4% - 16.8%)","13.4%","16.8%",
"06","California","06047","Merced","2022","20.1%","","(18.0% - 22.3%)","18.0%","22.3%",
"06","California","06049","Modoc","2022","14.8%","","(13.1% - 16.7%)","13.1%","16.7%",
"06","California","06051","Mono","2022","10.8%","","(9.5% - 12.2%)","9.5%","12.2%",
"06","California","06053","Monterey","2022","17.9%","","(15.9% - 20.0%)","15.9%","20.0%",
"06","California","06055","Napa","2022","13.7%","","(12.1% - 15.3%)","12.1%","15.3%",
"06","California","06057","Nevada","2022","8.8%","","(7.8% - 10.0%)","7.8%","10.0%",
"06","California","06059","Orange","2022","11.1%","","(9.9% - 12.5%)","9.9%","12.5%",
"06","California","06061","Placer","2022","8.9%","","(7.8% - 10.0%)","7.8%","10.0%",
"06","California","06063","Plumas","2022","12.8%","","(11.3% - 14.4%)","11.3%","14.4%",
"06","California","06065","Riverside","2022","16.5%","","(14.9% - 18.5%)","14.9%","18.5%",
"06","California","06067","Sacramento","2022","15.1%","","(13.6% - 16.6%)","13.6%","16.6%",
"06","California","06069","San Benito","2022","17.1%","","(15.2% - 19.1%)","15.2%","19.1%",
"06","California","06071","San Bernardino","2022","19.6%","","(17.6% - 21.5%)","17.6%","21.5%",
"06","California","06073","San Diego","2022","14.1%","","(12.6% - 15.7%)","12.6%","15.7%",
"06","California","06075","San Francisco","2022","9.1%","","(8.0% - 10.2%)","8.0%","10.2%",
"06","California","06077","San Joaquin","2022","18.7%","","(16.8% - 20.8%)","16.8%","20.8%",
"06","California","06079","San Luis Obispo","2022","12.4%","","(10.9% - 13.9%)","10.9%","13.9%",
"06","California","06081","San Mateo","2022","9.0%","","(8.0% - 10.2%)","8.0%","10.2%",
"06","California","06083","Santa Barbara","2022","15.4%","","(13.6% - 17.2%)","13.6%","17.2%",
"06","California","06085","Santa Clara","2022","7.9%","","(6.9% - 8.9%)","6.9%","8.9%",
"06","California","06087","Santa Cruz","2022","12.4%","","(11.0% - 13.9%)","11.0%","13.9%",
"06","California","06089","Shasta","2022","12.2%","","(10.8% - 13.7%)","10.8%","13.7%",
"06","California","06091","Sierra","2022","13.0%","","(11.4% - 14.7%)","11.4%","14.7%",
"06","California","06093","Siskiyou","2022","15.2%","","(13.3% - 17.0%)","13.3%","17.0%",
"06","California","06095","Solano","2022","14.1%","","(12.5% - 15.8%)","12.5%","15.8%",
"06","California","06097","Sonoma","2022","11.3%","","(10.0% - 12.7%)","10.0%","12.7%",
"06","California","06099","Stanislaus","2022","18.5%","","(16.5% - 20.5%)","16.5%","20.5%",
"06","California","06101","Sutter","2022","16.5%","","(14.7% - 18.5%)","14.7%","18.5%",
"06","California","06103","Tehama","2022","15.5%","","(13.6% - 17.5%)","13.6%","17.5%",
"06","California","06105","Trinity","2022","14.4%","","(12.7% - 16.2%)","12.7%","16.2%",
"06","California","06107","Tulare","2022","22.1%","","(19.8% - 24.4%)","19.8%","24.4%",
"06","California","06109","Tuolumne","2022","13.4%","","(11.9% - 15.1%)","11.9%","15.1%",
"06","California","06111","Ventura","2022","15.4%","","(13.8% - 17.2%)","13.8%","17.2%",
"06","California","06113","Yolo","2022","12.8%","","(11.3% - 14.3%)","11.3%","14.3%",
"06","California","06115","Yuba","2022","16.4%","","(14.6% - 18.5%)","14.6%","18.5%",
